Month,",000 kg Milksolids",",000 tonne"
Jun-03,"8,166",103
Jul-03,"11,169",136
Aug-03,"72,328",878
Sep-03,"144,744","1,799"
Oct-03,"178,861","2,242"
Nov-03,"175,396","2,166"
Dec-03,"158,923","1,969"
Jan-04,"139,853","1,726"
Feb-04,"118,372","1,391"
Mar-04,"120,906","1,353"
Apr-04,"89,304",948
May-04,"38,235",404
Jun-04,"6,825",85
Jul-04,"11,319",138
Aug-04,"70,342",851
Sep-04,"136,484","1,711"
Oct-04,"175,189","2,190"
Nov-04,"167,905","2,093"
Dec-04,"153,778","1,867"
Jan-05,"147,071","1,768"
Feb-05,"112,259","1,343"
Mar-05,"106,366","1,192"
Apr-05,"83,916",890
May-05,"41,295",433
Jun-05,"7,533",92
Jul-05,"11,240",137
Aug-05,"71,994",878
Sep-05,"150,924","1,880"
Oct-05,"179,441","2,237"
Nov-05,"173,710","2,154"
Dec-05,"155,394","1,920"
Jan-06,"146,649","1,771"
Feb-06,"120,091","1,420"
Mar-06,"114,021","1,260"
Apr-06,"90,758",967
May-06,"52,123",545
Jun-06,"7,471",89
Jul-06,"11,532",138
Aug-06,"73,084",881
Sep-06,"148,850","1,861"
Oct-06,"186,189","2,308"
Nov-06,"179,969","2,206"
Dec-06,"166,270","1,997"
Jan-07,"153,512","1,838"
Feb-07,"123,265","1,446"
Mar-07,"116,653","1,291"
Apr-07,"94,655",998
May-07,"51,038",533
Jun-07,"8,236",98
Jul-07,"11,674",140
Aug-07,"75,749",915
Sep-07,"152,267","1,902"
Oct-07,"192,645","2,388"
Nov-07,"185,941","2,292"
Dec-07,"170,139","2,079"
Jan-08,"150,182","1,822"
Feb-08,"111,354","1,306"
Mar-08,"103,011","1,140"
Apr-08,"71,755",766
May-08,"36,640",384
Jun-08,"8,286",100
Jul-08,"13,001",155
Aug-08,"77,040",926
Sep-08,"157,681","1,971"
Oct-08,"201,078","2,498"
Nov-08,"191,449","2,353"
Dec-08,"177,043","2,158"
Jan-09,"162,310","1,950"
Feb-09,"124,356","1,447"
Mar-09,"132,344","1,460"
Apr-09,"105,452","1,109"
May-09,"44,432",456
Jun-09,"7,765",92
Jul-09,"11,844",141
Aug-09,"79,240",959
Sep-09,"169,206","2,100"
Oct-09,"204,395","2,526"
Nov-09,"200,338","2,447"
Dec-09,"185,238","2,247"
Jan-10,"165,987","1,975"
Feb-10,"138,858","1,613"
Mar-10,"135,098","1,468"
Apr-10,"92,665",952
May-10,"47,862",493
Jun-10,"8,068",96
Jul-10,"12,382",149
Aug-10,"83,583","1,003"
Sep-10,"167,610","2,061"
Oct-10,"212,191","2,639"
Nov-10,"205,416","2,530"
Dec-10,"174,989","2,144"
Jan-11,"168,523","2,020"
Feb-11,"144,569","1,683"
Mar-11,"144,951","1,592"
Apr-11,"121,766","1,269"
May-11,"69,123",709
Jun-11,"10,731",127
Jul-11,"13,679",162
Aug-11,"88,755","1,067"
Sep-11,"187,472","2,319"
Oct-11,"234,812","2,890"
Nov-11,"216,654","2,645"
Dec-11,"200,787","2,432"
Jan-12,"185,898","2,208"
Feb-12,"163,457","1,874"
Mar-12,"161,558","1,737"
Apr-12,"141,720","1,479"
May-12,"79,430",802
Jun-12,"11,194",131
Jul-12,"16,698",195
Aug-12,"101,877","1,218"
Sep-12,"197,308","2,436"
Oct-12,"242,746","2,994"
Nov-12,"234,207","2,848"
Dec-12,"215,226","2,595"
Jan-13,"193,526","2,302"
Feb-13,"155,153","1,764"
Mar-13,"136,317","1,446"
Apr-13,"95,393",969
May-13,"57,662",580
Jun-13,"10,423",122
Jul-13,"15,655",185
Aug-13,"110,712","1,330"
Sep-13,"213,678","2,615"
Oct-13,"256,842","3,156"
Nov-13,"241,310","2,961"
Dec-13,"225,149","2,718"
Jan-14,"211,212","2,473"
Feb-14,"174,246","1,973"
Mar-14,"167,006","1,764"
Apr-14,"126,431","1,287"
May-14,"72,316",719
Jun-14,"11,736",136
Jul-14,"16,795",195
Aug-14,"117,546","1,390"
Sep-14,"225,777","2,752"
Oct-14,"270,839","3,299"
Nov-14,"253,495","3,045"
Dec-14,"235,449","2,809"
Jan-15,"208,569","2,481"
Feb-15,"165,666","1,861"
Mar-15,"165,138","1,749"
Apr-15,"138,067","1,396"
May-15,"80,808",796
Jun-15,"13,104",147
Jul-15,"19,892",229
Aug-15,"116,682","1,379"
Sep-15,"209,494","2,543"
Oct-15,"263,469","3,211"
Nov-15,"248,034","2,980"
Dec-15,"232,655","2,765"
Jan-16,"208,036","2,428"
Feb-16,"171,624","1,966"
Mar-16,"162,357","1,735"
Apr-16,"134,607","1,361"
May-16,"82,798",824
Jun-16,"13,013",147
Jul-16,"19,923",231
Aug-16,"113,130","1,342"
Sep-16,"210,113","2,570"
Oct-16,"247,431","3,036"
Nov-16,"234,770","2,845"
Dec-16,"225,501","2,689"
Jan-17,"209,690","2,412"
Feb-17,"171,172","1,909"
Mar-17,"178,463","1,895"
Apr-17,"143,763","1,447"
May-17,"84,037",818
Jun-17,"15,672",178
Jul-17,"21,496",248
Aug-17,"111,385","1,321"
Sep-17,"207,418","2,529"
Oct-17,"254,558","3,118"
Nov-17,"242,644","2,965"
Dec-17,"215,089","2,620"
Jan-18,"194,128","2,294"
Feb-18,"165,225","1,874"
Mar-18,"174,572","1,867"
Apr-18,"148,177","1,489"
May-18,"88,812",869
Jun-18,"17,565",198
Jul-18,"22,470",262
Aug-18,"116,478","1,383"
Sep-18,"219,511","2,682"
Oct-18,"271,080","3,299"
Nov-18,"248,156","2,995"
Dec-18,"228,238","2,735"
Jan-19,"209,036","2,471"
Feb-19,"165,025","1,875"
Mar-19,"161,433","1,713"
Apr-19,"136,728","1,364"
May-19,"87,839",868
Jun-19,"19,917",226
Jul-19,"23,539",274
Aug-19,"119,066","1,394"
Sep-19,"220,982","2,664"
Oct-19,"266,907","3,213"
Nov-19,"249,135","3,003"
Dec-19,"228,700","2,722"
Jan-20,"211,377","2,454"
