,time,nottem
1,1920,40.6
2,1920.083333,40.8
3,1920.166667,44.4
4,1920.25,46.7
5,1920.333333,54.1
6,1920.416667,58.5
7,1920.5,57.7
8,1920.583333,56.4
9,1920.666667,54.3
10,1920.75,50.5
11,1920.833333,42.9
12,1920.916667,39.8
13,1921,44.2
14,1921.083333,39.8
15,1921.166667,45.1
16,1921.25,47
17,1921.333333,54.1
18,1921.416667,58.7
19,1921.5,66.3
20,1921.583333,59.9
21,1921.666667,57
22,1921.75,54.2
23,1921.833333,39.7
24,1921.916667,42.8
25,1922,37.5
26,1922.083333,38.7
27,1922.166667,39.5
28,1922.25,42.1
29,1922.333333,55.7
30,1922.416667,57.8
31,1922.5,56.8
32,1922.583333,54.3
33,1922.666667,54.3
34,1922.75,47.1
35,1922.833333,41.8
36,1922.916667,41.7
37,1923,41.8
38,1923.083333,40.1
39,1923.166667,42.9
40,1923.25,45.8
41,1923.333333,49.2
42,1923.416667,52.7
43,1923.5,64.2
44,1923.583333,59.6
45,1923.666667,54.4
46,1923.75,49.2
47,1923.833333,36.3
48,1923.916667,37.6
49,1924,39.3
50,1924.083333,37.5
51,1924.166667,38.3
52,1924.25,45.5
53,1924.333333,53.2
54,1924.416667,57.7
55,1924.5,60.8
56,1924.583333,58.2
57,1924.666667,56.4
58,1924.75,49.8
59,1924.833333,44.4
60,1924.916667,43.6
61,1925,40
62,1925.083333,40.5
63,1925.166667,40.8
64,1925.25,45.1
65,1925.333333,53.8
66,1925.416667,59.4
67,1925.5,63.5
68,1925.583333,61
69,1925.666667,53
70,1925.75,50
71,1925.833333,38.1
72,1925.916667,36.3
73,1926,39.2
74,1926.083333,43.4
75,1926.166667,43.4
76,1926.25,48.9
77,1926.333333,50.6
78,1926.416667,56.8
79,1926.5,62.5
80,1926.583333,62
81,1926.666667,57.5
82,1926.75,46.7
83,1926.833333,41.6
84,1926.916667,39.8
85,1927,39.4
86,1927.083333,38.5
87,1927.166667,45.3
88,1927.25,47.1
89,1927.333333,51.7
90,1927.416667,55
91,1927.5,60.4
92,1927.583333,60.5
93,1927.666667,54.7
94,1927.75,50.3
95,1927.833333,42.3
96,1927.916667,35.2
97,1928,40.8
98,1928.083333,41.1
99,1928.166667,42.8
100,1928.25,47.3
101,1928.333333,50.9
102,1928.416667,56.4
103,1928.5,62.2
104,1928.583333,60.5
105,1928.666667,55.4
106,1928.75,50.2
107,1928.833333,43
108,1928.916667,37.3
109,1929,34.8
110,1929.083333,31.3
111,1929.166667,41
112,1929.25,43.9
113,1929.333333,53.1
114,1929.416667,56.9
115,1929.5,62.5
116,1929.583333,60.3
117,1929.666667,59.8
118,1929.75,49.2
119,1929.833333,42.9
120,1929.916667,41.9
121,1930,41.6
122,1930.083333,37.1
123,1930.166667,41.2
124,1930.25,46.9
125,1930.333333,51.2
126,1930.416667,60.4
127,1930.5,60.1
128,1930.583333,61.6
129,1930.666667,57
130,1930.75,50.9
131,1930.833333,43
132,1930.916667,38.8
133,1931,37.1
134,1931.083333,38.4
135,1931.166667,38.4
136,1931.25,46.5
137,1931.333333,53.5
138,1931.416667,58.4
139,1931.5,60.6
140,1931.583333,58.2
141,1931.666667,53.8
142,1931.75,46.6
143,1931.833333,45.5
144,1931.916667,40.6
145,1932,42.4
146,1932.083333,38.4
147,1932.166667,40.3
148,1932.25,44.6
149,1932.333333,50.9
150,1932.416667,57
151,1932.5,62.1
152,1932.583333,63.5
153,1932.666667,56.3
154,1932.75,47.3
155,1932.833333,43.6
156,1932.916667,41.8
157,1933,36.2
158,1933.083333,39.3
159,1933.166667,44.5
160,1933.25,48.7
161,1933.333333,54.2
162,1933.416667,60.8
163,1933.5,65.5
164,1933.583333,64.9
165,1933.666667,60.1
166,1933.75,50.2
167,1933.833333,42.1
168,1933.916667,35.8
169,1934,39.4
170,1934.083333,38.2
171,1934.166667,40.4
172,1934.25,46.9
173,1934.333333,53.4
174,1934.416667,59.6
175,1934.5,66.5
176,1934.583333,60.4
177,1934.666667,59.2
178,1934.75,51.2
179,1934.833333,42.8
180,1934.916667,45.8
181,1935,40
182,1935.083333,42.6
183,1935.166667,43.5
184,1935.25,47.1
185,1935.333333,50
186,1935.416667,60.5
187,1935.5,64.6
188,1935.583333,64
189,1935.666667,56.8
190,1935.75,48.6
191,1935.833333,44.2
192,1935.916667,36.4
193,1936,37.3
194,1936.083333,35
195,1936.166667,44
196,1936.25,43.9
197,1936.333333,52.7
198,1936.416667,58.6
199,1936.5,60
200,1936.583333,61.1
201,1936.666667,58.1
202,1936.75,49.6
203,1936.833333,41.6
204,1936.916667,41.3
205,1937,40.8
206,1937.083333,41
207,1937.166667,38.4
208,1937.25,47.4
209,1937.333333,54.1
210,1937.416667,58.6
211,1937.5,61.4
212,1937.583333,61.8
213,1937.666667,56.3
214,1937.75,50.9
215,1937.833333,41.4
216,1937.916667,37.1
217,1938,42.1
218,1938.083333,41.2
219,1938.166667,47.3
220,1938.25,46.6
221,1938.333333,52.4
222,1938.416667,59
223,1938.5,59.6
224,1938.583333,60.4
225,1938.666667,57
226,1938.75,50.7
227,1938.833333,47.8
228,1938.916667,39.2
229,1939,39.4
230,1939.083333,40.9
231,1939.166667,42.4
232,1939.25,47.8
233,1939.333333,52.4
234,1939.416667,58
235,1939.5,60.7
236,1939.583333,61.8
237,1939.666667,58.2
238,1939.75,46.7
239,1939.833333,46.6
240,1939.916667,37.8
