Time,Milk Production,,In thousands of tonnes 
Jan-15,"2,481",,
Feb-15,"1,861",,
Mar-15,"1,749",,
Apr-15,"1,396",,
May-15,796,,
Jun-15,147,,
Jul-15,229,,
Aug-15,"1,379",,
Sep-15,"2,543",,
Oct-15,"3,211",,
Nov-15,"2,980",,
Dec-15,"2,765",,
Jan-16,"2,428",,
Feb-16,"1,966",,
Mar-16,"1,735",,
Apr-16,"1,361",,
May-16,824,,
Jun-16,147,,
Jul-16,231,,
Aug-16,"1,342",,
Sep-16,"2,570",,
Oct-16,"3,036",,
Nov-16,"2,845",,
Dec-16,"2,689",,
Jan-17,"2,412",,
Feb-17,"1,909",,
Mar-17,"1,895",,
Apr-17,"1,447",,
May-17,818,,
Jun-17,178,,
Jul-17,248,,
Aug-17,"1,321",,
Sep-17,"2,529",,
Oct-17,"3,118",,
Nov-17,"2,965",,
Dec-17,"2,620",,
Jan-18,"2,294",,
Feb-18,"1,874",,
Mar-18,"1,867",,
Apr-18,"1,489",,
May-18,869,,
Jun-18,198,,
Jul-18,262,,
Aug-18,"1,383",,
Sep-18,"2,682",,
Oct-18,"3,299",,
Nov-18,"2,995",,
Dec-18,"2,735",,
Jan-19,"2,471",,
Feb-19,"1,875",,
Mar-19,"1,713",,
Apr-19,"1,364",,
May-19,868,,
Jun-19,226,,
Jul-19,274,,
Aug-19,"1,394",,
Sep-19,"2,664",,
Oct-19,"3,213",,
,,,
